TRACK_INDEX;TRACK_ID;NUMBER_SPOTS;NUMBER_GAPS;NUMBER_SPLITS;NUMBER_MERGES;NUMBER_COMPLEX;LONGEST_GAP;TRACK_DURATION;TRACK_START;TRACK_STOP;TRACK_DISPLACEMENT;TRACK_X_LOCATION;TRACK_Y_LOCATION;TRACK_Z_LOCATION;TRACK_MEAN_SPEED;TRACK_MAX_SPEED;TRACK_MIN_SPEED;TRACK_MEDIAN_SPEED;TRACK_STD_SPEED;TRACK_MEAN_QUALITY;TOTAL_DISTANCE_TRAVELED;MAX_DISTANCE_TRAVELED;CONFINEMENT_RATIO;MEAN_STRAIGHT_LINE_SPEED;LINEARITY_OF_FORWARD_PROGRESSION;MEAN_DIRECTIONAL_CHANGE_RATE
110.0;110.0;23.0;0.0;0.0;0.0;0.0;0.0;11.0;2.0;13.0;2.5206142521685635;14.402477102099626;41.11435652210413;0.0;0.300100705337248;3.1958288431812916;0.030136799815729514;0.16415237096433208;0.6531994819022714;3.8266564763110615;3.301107758709729;2.5206142521685635;0.7635661833571198;0.22914675019714215;0.76356618335712;1.6141720654943195
122.0;122.0;49.0;1.0;0.0;0.0;0.0;1.0;24.5;3.0;27.5;2.7935791188843173;31.795411385267013;37.875992216620496;0.0;0.29707082619547365;2.3828214463636828;0.004834032559601382;0.14954871869740047;0.4947121579877593;4.353952510016305;7.206362814573524;3.27741674929494;0.3876545201463941;0.11402363750548233;0.383826439525416;1.7524297161442692
123.0;123.0;22.0;0.0;0.0;0.0;0.0;0.0;10.5;3.0;13.5;1.4218069227196972;22.25983711313255;9.996314547027472;0.0;0.3672297140246437;3.301195347415944;0.007299684419025079;0.19435265732068807;0.6827762154630085;3.232671921903437;3.855911997258759;1.8070337640782674;0.3687342770609098;0.13541018311616165;0.36873427706090983;1.4649747109221412
126.0;126.0;35.0;1.0;0.0;0.0;0.0;1.0;17.5;3.0;20.5;2.2435781858881176;11.823604108946952;52.99904346823761;0.0;0.2545070712173593;1.4419745217582463;0.021053183310353392;0.15851870788269218;0.2925073824532062;3.865436438151768;4.734100226970883;2.252100637652675;0.4739186071951148;0.1282044677650353;0.5037363683130969;2.1137463383597432
131.0;131.0;26.0;0.0;0.0;0.0;0.0;0.0;12.5;3.5;16.0;1.1776017899571634;25.21431051162331;45.18385146110141;0.0;0.23073770326338022;3.6348074336375;0.008862218997175316;0.07094510870974352;0.712445431964393;3.526577197588407;2.884221290792252;1.4928704816258964;0.40829106758091155;0.09420814319657307;0.4082910675809115;2.92705822559501
159.0;159.0;31.0;2.0;0.0;0.0;0.0;1.0;16.0;5.0;21.0;0.7479228065340131;30.75849164887238;28.731854185126547;0.0;0.35706982409734234;3.1155744793891134;0.014360150428310698;0.1457889170056528;0.6346366999940635;3.893594741821289;5.895888064620246;1.4314539286178638;0.12685498746526605;0.04674517540837582;0.1309132619272594;1.88815325190741
163.0;163.0;25.0;0.0;0.0;0.0;0.0;0.0;12.0;5.0;17.0;0.5048903969250771;30.542906927599773;10.232920139490746;0.0;0.617877911359052;3.606207873073563;0.010906017251109611;0.14542444797738877;1.1194116339680908;2.9112680625915526;7.414534936308623;1.7575743886989044;0.0680946817652248;0.042074199743756424;0.0680946817652248;2.665426914871593
164.0;164.0;27.0;0.0;0.0;0.0;0.0;0.0;13.0;5.0;18.0;1.7154051694453505;26.542536105908077;44.08865134055298;0.0;0.19147571451492051;1.753180086960457;0.010941694349762532;0.11354968955967686;0.32964684631227403;4.103521126287955;2.489184288693967;1.7154051694453505;0.6891434986299848;0.1319542438034885;0.6891434986299848;1.3913589343003423
165.0;165.0;62.0;2.0;0.0;0.0;0.0;1.0;31.5;6.0;37.5;3.597579790341455;31.506020994493134;33.78824043167829;0.0;0.21200894304126752;1.2808055736298187;0.011684325186167131;0.15931586382070734;0.1957190893590143;3.4357644665625786;7.5056302388286875;3.7574781672281;0.4793174824587263;0.11420888223306207;0.5386984180701817;1.512758463856904
172.0;172.0;22.0;0.0;0.0;0.0;0.0;0.0;10.5;6.0;16.5;1.8517761434567719;23.30404627152179;56.3403166873677;0.0;0.18419326494622645;0.3669829391334167;0.022939054264079745;0.2052004898897756;0.10478003727394142;3.7931266589598223;1.9340292819353782;1.8517761434567719;0.9574705826603123;0.17635963271016875;0.9574705826603125;1.0025792620610394
178.0;178.0;19.0;0.0;0.0;0.0;0.0;0.0;9.0;7.0;16.0;1.9980507861986043;29.093797688025568;30.12887752628843;0.0;0.22836186342799758;0.44337548577694585;0.08805963043126123;0.2013916348055746;0.10210832174872501;2.945590608998349;2.0552567708519787;1.9980507861986043;0.9721660157189701;0.22200564291095604;0.9721660157189702;0.5740290040270598
181.0;181.0;24.0;1.0;0.0;0.0;0.0;1.0;12.0;6.5;18.5;0.18147835737607707;14.64507335858236;7.19363240744075;0.0;0.06604120729704731;0.16608348112208807;0.02105989775307188;0.055925462363321035;0.03658166770061742;2.781902492046356;0.7767069454011183;0.18147835737607707;0.23365100370301875;0.015123196448006422;0.22899636555679045;2.9297153327536836
184.0;184.0;19.0;1.0;0.0;0.0;0.0;1.0;9.5;6.5;16.0;3.000933395186107;4.881602965802047;12.32137444122818;0.0;0.3322514818875043;3.0473052860573207;0.03360338394943198;0.1542018340384984;0.6926560485839379;3.0710706961782357;3.3236024701245204;3.000933395186107;0.9029158637836959;0.3158877258090639;0.9507488845934449;1.37205602191946
190.0;190.0;27.0;0.0;0.0;0.0;0.0;0.0;13.0;7.0;20.0;1.3869331677372472;24.418242631622288;20.708649862111706;0.0;0.18799923498152302;0.3982979073383879;0.017318911349727104;0.14976756362961824;0.1240658224172767;3.9131116248943187;2.4439900547598;1.3869331677372472;0.567487238761926;0.10668716674901901;0.5674872387619262;2.9167421027262215
191.0;191.0;37.0;1.0;0.0;0.0;0.0;1.0;18.5;7.0;25.5;0.9951572663190789;33.09326361794851;60.58361818757587;0.0;0.11039105972246295;0.27412928408443926;0.013773770828642293;0.09466323455411822;0.06812481625616298;4.240312531187728;2.029302777594362;0.9951572663190789;0.49039368462245364;0.05379228466589615;0.4872884163005296;1.755554309567139
204.0;204.0;43.0;0.0;0.0;0.0;0.0;0.0;21.0;8.0;29.0;1.9083822612890013;15.779171064541748;3.7370094960925937;0.0;0.1569285373811049;1.3674628698841695;0.010561967779690795;0.0903238305410721;0.23715408723750014;4.4792115133862165;3.295499285003204;1.9083822612890013;0.579087445102312;0.09087534577566674;0.5790874451023122;2.1798398827466974
